EDAD
59
53
75
66
59
91
55
60
78
88
56
65
49
48
81
71
44
68
47
72
62
65
67
80
48
64
56
60
63
72
18
69
76
67
86
60
63
88
52
79
64
55
10
79
62
63
78
89
74
76
84
58
74
67
51
70
48
77
69
73
53
61
64
54
73
60
45
86
65
71
79
48
59
80
86
75
55
62
69
43
43
71
69
66
45
49
51
55
50
51
68
56
61
65
63
61
73
62
83
61
77
91
92
63
74
59
56
87
81
77
61
49
51
68
66
47
73
77
73
77
66
75
75
90
61
65
81
83
55
60
80
85
69
67
66
66
83
46
66
73
61
81
92
85
68
73
68
45
45
62
69
68
66
65
65
73
79
67
50
47
87
43
71
81
73
57
57
60
55
58
60
71
55
73
72
83
82
35
82
51
67
56
71
81
63
63
63
64
43
18
21
63
71
28
80
33
32
75
34
85
36
37
39
40
39
44
69
67
73
70
84
57
79
58
45
64
67
63
57
78
73
74
82
78
94
66
54
75
59
68
45
72
85
68
72
78
69
93
56
56
80
65
71
70
89
81
55
71
46
79
75
68
82
56
45
57
81
78
69
71
46
63
65
80
63
73
73
84
61
84
87
88
42
62
67
53
53
63
77
51
51
35
72
74
52
58
20
70
79
87
74
84
77
62
66
64
66
77
77
92
79
91
68
65
53
61
81
99
76
68
90
79
84
42
54
61
74
59
79
80
66
80
60
65
74
77
68
59
91
56
46
56
92
41
64
36
69
86
64
95
59
67
57
81
91
80
64
59
82
58
64
79
68
74
87
45
84
61
97
64
90
66
43
67
64
40
64
79
67
70
96
94
31
78
54
54
54
93
64
75
70
45
68
45
62
80
72
76
82
72
61
75
81
50
75
74
56
74
61
92
91
41
61
81
66
68
44
55
55
58
63
62
73
91
65
60
92
68
60
66
72
81
74
71
57
51
64
49
71
63
47
68
62
84
85
63
68
76
54
58
88
61
52
66
84
44
84
70
81
68
49
89
80
62
73
77
76
67
98
63
66
76
78
69
47
57
10
76
71
81
24
50
52
50
81
70
66
82
73
68
54
74
78
57
57
33
66
48
75
55
52
74
64
69
95
35
61
71
70
70
65
65
80
61
34
74
71
60
55
83
92
55
67
61
58
75
70
59
63
43
68
57
75
75
70
72
66
65
81
52
60
74
81
51
46
69
41
37
68
65
50
43
85
78
92
57
65
60
74
62
65
64
74
59
72
83
65
75
60
71
77
75
77
78
79
82
57
77
72
87
41
43
92
44
68
59
70
77
70
65
88
50
81
74
67
58
69
69
56
61
78
84
40
87
83
64
48
72
72
74
58
55
64
47
76
78
63
75
51
81
70
49
82
54
55
50
60
82
87
65
70
39
67
63
76
41
79
78
59
64
60
67
82
74
72
90
77
68
55
60
46
59
40
49
56
65
61
54
61
66
62
59
72
62
44
67
70
77
42
63
88
70
57
81
61
28
49
73
85
60
55
56
63
43
