EDAD
76
68
85
52
78
86
93
68
60
51
85
72
54
52
75
60
85
63
65
90
78
69
83
65
76
94
53
65
43
66
66
77
92
80
73
81
75
60
61
82
94
74
64
54
79
67
79
64
63
69
74
79
69
48
63
50
48
91
90
65
44
93
58
57
86
86
62
56
73
67
81
85
77
65
70
59
61
91
68
35
82
46
71
51
84
65
56
39
72
38
